001	Bulbasaur	Blazed	Weedman Will
002	Ivysaur	Blazed	Bedroom Grower
003	Venusaur ex	Blazed	Howard Marks
004	Charmander	Curry	Dave Lister
005	Charmeleon	Curry	Four-Naan Jeremy
006	Charizard ex	Curry	Brick Lane Boss
007	Squirtle	Sober	Designated Driver
008	Wartortle	Sober	Dry January
009	Blastoise ex	Sober	Parkrun
010	Caterpie	Blazed	First Rollie
011	Metapod	Blazed	Couch Lock
012	Butterfree	Blazed	High as a Kite
013	Weedle	Blazed	Soap Bar
014	Kakuna	Blazed	Cheese
015	Beedrill	Blazed	Stardawg
016	Pidgey	Local	Ciggy Sam
017	Pidgeotto	Local	Pub Regular
018	Pidgeot	Local	Local Celebrity
019	Rattata	Local	Scrounger
020	Raticate	Local	Borrow-a-Fiver
021	Spearow	Local	Dole Spender
022	Fearow	Local	Cash-in-Hand
023	Ekans	Dodgy	Snake Oil
024	Arbok ex	Dodgy	Boiler Room
025	Pikachu	Beer	Pintman
026	Raichu	Beer	Donni
027	Sandshrew	Lairy	You Looking at Me?
028	Sandslash	Lairy	Come On Then
029	Nidoran ♀	Dodgy	Fake Tan Fran
030	Nidorina	Dodgy	Facebook Marketplace
031	Nidoqueen	Dodgy	MLM Queen
032	Nidoran ♂	Dodgy	Knockoff Nigel
033	Nidorino	Dodgy	Cash Only
034	Nidoking	Dodgy	Landlord
035	Clefairy	Geeked	First Bump
036	Clefable	Geeked	Second Wind
037	Vulpix	Curry	Ruby Murray
038	Ninetales ex	Curry	Curry Mile
039	Jigglypuff	Local	Karaoke Kev
040	Wigglytuff ex	Local	Karaoke Queen
041	Zubat	Dodgy	Balaclava
042	Golbat	Dodgy	Catalytic Converter
043	Oddish	Blazed	Eighth
044	Gloom	Blazed	Whitey
045	Vileplume	Blazed	Growroom
046	Paras	Blazed	Fun Guy
047	Parasect	Blazed	Magic Mushroom
048	Venonat	Blazed	Red-Eye
049	Venomoth	Blazed	Space Cadet
050	Diglett	Lairy	You What?
051	Dugtrio	Lairy	Me and My Mates
052	Meowth	Local	Bookies Brian
053	Persian	Local	Golf Club Gary
054	Psyduck	Sober	Day Two
055	Golduck	Sober	Clear Head
056	Mankey	Lairy	Shirt Off
057	Primeape	Lairy	Ronnie Pickering
058	Growlithe	Curry	Balti Triangle
059	Arcanine	Curry	Bradford
060	Poliwag	Sober	Lime and Soda
061	Poliwhirl	Sober	Alcohol Free
062	Poliwrath	Sober	Zero Point Zero
063	Abra	Geeked	Jaw Swing
064	Kadabra	Geeked	Gurning
065	Alakazam ex	Geeked	Ebeneezer Goode
066	Machop	Lairy	Tiny
067	Machoke	Lairy	Bouncer
068	Machamp	Lairy	Head Doorman
069	Bellsprout	Blazed	Ten Bag
070	Weepinbell	Blazed	Half Ounce
071	Victreebel	Blazed	Full Ounce
072	Tentacool	Sober	Early Night
073	Tentacruel	Sober	Fresh as a Daisy
074	Geodude	Lairy	Stone Island
075	Graveler	Lairy	Away Day
076	Golem ex	Lairy	The Firm
077	Ponyta	Curry	Southall
078	Rapidash	Curry	Shish Mahal
079	Slowpoke	Geeked	Coming Up
080	Slowbro	Geeked	Still Coming Up
081	Magnemite	Beer	One-Pint Wonder
082	Magneton	Beer	Three-Pint Hero
083	Farfetch'd	Local	Allotment Alan
084	Doduo	Local	The Twins
085	Dodrio	Local	The Lads
086	Seel	Sober	Cold Plunge
087	Dewgong	Sober	Ice Bath
088	Grimer	Dodgy	Fly Tipper
089	Muk	Dodgy	Waste Licence Pending
090	Shellder	Sober	Recovery Meeting
091	Cloyster	Sober	The Sponsor
092	Gastly	Geeked	Kitchen Afterparty
093	Haunter	Geeked	Someone's Mate
094	Gengar	Geeked	Sunrise Sesh
095	Onix	Lairy	Big Vern
096	Drowzee	Geeked	No Sleep
097	Hypno	Geeked	Fourth Night
098	Krabby	Sober	Crabby Before Coffee
099	Kingler	Sober	Black Coffee
100	Voltorb	Beer	Tinnie
101	Electrode	Beer	Kegstand
102	Exeggcute	Blazed	Edibles
103	Exeggutor	Blazed	Space Cake
104	Cubone	Lairy	Pool Cue
105	Marowak	Lairy	Last Orders
106	Hitmonlee	Lairy	Barry Chuckle
107	Hitmonchan	Lairy	Paul Chuckle
108	Lickitung	Local	Pub Bore
109	Koffing	Dodgy	Two-Pound Vape
110	Weezing	Dodgy	Duty-Free
111	Rhyhorn	Lairy	Road Rage
112	Rhydon	Lairy	Dashcam
113	Chansey	Local	Bingo Brenda
114	Tangela	Blazed	Hotbox
115	Kangaskhan ex	Local	School-Run Sue
116	Horsea	Sober	One Day at a Time
117	Seadra	Sober	One Year Chip
118	Goldeen	Sober	Sunday Swim
119	Seaking	Sober	Channel Crossing
120	Staryu	Sober	Couch to 5K
121	Starmie	Sober	Marathon
122	Mr. Mime	Geeked	Big Fish Little Fish
123	Scyther	Blazed	Cropper
124	Jynx ex	Sober	Hen Night Mum
125	Electabuzz	Beer	Pub Buzz
126	Magmar	Curry	Mr Vesta
127	Pinsir	Blazed	Roach Clip
128	Tauros	Local	White Van Dan
129	Magikarp	Sober	Rock Bottom
130	Gyarados	Sober	Comeback Story
131	Lapras	Sober	Last Bus Home
132	Ditto	Local	Steve
133	Eevee	Local	Apprentice
134	Vaporeon	Sober	Teetotal Terry
135	Jolteon	Beer	Snakebite
136	Flareon	Curry	Bombay Bandit
137	Porygon	Local	Facebook Dad
138	Omanyte	Sober	Old Habit
139	Omastar	Sober	New Life
140	Kabuto	Lairy	Flat Cap
141	Kabutops	Lairy	Peaky Blinder
142	Aerodactyl	Local	Old Boy
143	Snorlax	Local	Big Dave
144	Articuno	Sober	Cold Turkey
145	Zapdos ex	Beer	Beer Baron
146	Moltres	Curry	Fat Les
147	Dratini	Legend	Reginald Kray
148	Dragonair	Legend	Golden Boy
149	Dragonite	Legend	Gazza
150	Mewtwo	Geeked	Super Hans
151	Mew ex	Geeked	Bez
